Lib name,total,return,comment,TC,TA,,,,,,,,
requests,560,392,24,0,0,24,,,,,,,
six,32,23,0,0,0,0,,,Total Functions,Non-void Function,Comment,TC,TA
Flask,325,239,11,0,0,11,,,101102,70998,5976,361,6485
Django,7388,5527,329,0,0,329,,,,,,,
Jinja2,688,479,39,0,0,39,,,,,,,
Numpy,3133,2768,365,0,0,365,,,,,,,
pytz,76,70,1,0,0,1,,,,Comments,Type comments,Type annotations,
MarkupSafe,32,30,0,0,30,30,,,,84,9,17,
Werkzeug,1042,718,44,0,461,486,,,,,,,
pytest,1476,910,34,0,799,799,,,,,,,
gunicorn,391,178,2,0,0,2,,,,comments & TC,TC &TA,Comments & TA,
psycopg2,204,148,6,0,0,6,,,,9,4,16,
python-dateutil,280,224,10,0,0,10,,,,,,,
PyYAML,0,0,0,0,0,0,,,,,,,
PyYAML,348,202,7,0,0,7,,,,,,,
Pillow,1068,690,55,0,0,55,,,,,,,
click,454,335,21,0,0,21,,,,,,,
Sphinx,4064,1988,26,4,1974,1978,,,,,,,
itsdangerous,66,54,3,0,42,43,,,,,,,
coverage,533,353,48,0,0,48,,,,,,,
mock,144,102,4,0,0,4,,,,,,,
scipy,4896,4225,642,0,1,642,,,,,,,
nose,662,368,20,0,0,20,,,,,,,
SQLAlchemy,6622,4588,184,62,31,269,,,,,,,
certifi,1,1,0,0,0,0,,,,,,,
matplotlib,5673,3205,253,0,0,241,,,,,,,
pandas,5538,4620,546,0,1980,12,,,,,,,
urllib3,204,142,8,0,0,0,,,,,,,
chardet,128,79,0,0,0,2241,,,,,,,
flake8,304,194,31,106,0,8,,,,,,,
idna,110,107,0,0,0,0,,,,,,,
Pygments,780,573,8,0,0,116,,,,,,,
lxml,309,203,17,0,0,0,,,,,,,
ipython,1731,1019,94,0,28,8,,,,,,,
beautifulsoup4,365,175,20,0,0,17,,,,,,,
pyparsing,352,256,17,0,10,113,,,,,,,
setuptools,8,7,0,0,0,20,,,,,,,
setuptools,817,544,17,0,0,25,,,,,,,
argparse,118,66,0,0,0,0,,,,,,,
Flask-SQLAlchemy,71,47,2,0,0,0,,,,,,,
redis,460,384,69,0,0,11,,,,,,,
djangorestframework,844,665,41,0,0,6,,,,,,,
tornado,998,531,38,5,526,0,,,,,,,
decorator,10,7,0,0,0,2,,,,,,,
pytest-cov,59,22,0,0,0,69,,,,,,,
dj-database-url,2,2,0,0,0,41,,,,,,,
Markdown,367,217,17,0,0,531,,,,,,,
simplejson,47,36,4,0,0,0,,,,,,,
pylint,1341,743,90,0,112,0,,,,,,,
tox,613,361,4,0,355,0,,,,,,,
Babel,422,360,17,0,0,17,,,,,,,
pymongo,1539,1108,41,0,0,4,,,,,,,
py,570,392,29,0,0,169,,,,,,,
virtualenv,620,409,0,0,0,355,,,,,,,
pycparser,605,308,2,0,0,17,,,,,,,
colorama,48,25,0,0,0,1,,,,,,,
jsonschema,142,126,3,0,0,4,,,,,,,
mccabe,33,8,0,0,0,36,,,,,,,
pexpect,220,91,23,0,0,29,,,,,,,
packaging,184,164,3,164,0,0,,,,,,,
WTForms,209,120,3,0,0,2,,,,,,,
html5lib,317,238,4,0,0,0,,,,,,,
pyOpenSSL,280,173,62,0,0,3,,,,,,,
selenium,620,363,32,0,0,0,,,,,,,
pyasn1,581,503,13,0,0,23,,,,,,,
gevent,1681,943,57,0,0,164,,,,,,,
traitlets,367,234,16,0,0,3,,,,,,,
attrs,119,100,9,0,0,4,,,,,,,
Mako,465,241,10,0,0,62,,,,,,,
Cython,4927,2995,38,0,0,32,,,,,,,
pickleshare,22,14,0,0,0,13,,,,,,,
pep8,80,63,1,0,0,57,,,,,,,
pyflakes,162,75,3,5,0,16,,,,,,,
whitenoise,80,59,0,0,0,9,,,,,,,
tqdm,64,50,1,0,0,10,,,,,,,
pbr,150,96,5,0,0,38,,,,,,,
appdirs,19,18,7,0,0,0,,,,,,,
Flask-Login,49,39,9,0,0,0,,,,,,,
ptyprocess,37,27,9,0,0,0,,,,,,,
wcwidth,6,6,2,0,0,1,,,,,,,
enum34,41,34,4,0,0,8,,,,,,,
protobuf,1422,499,44,4,0,0,,,,,,,
pyzmq,508,265,23,0,9,1,,,,,,,
psutil,457,406,46,0,0,5,,,,,,,
sqlparse,159,107,7,0,0,7,,,,,,,
django-debug-toolbar,223,162,7,0,0,9,,,,,,,
isort,268,202,25,0,99,9,,,,,,,
django-extensions,507,300,12,9,0,2,,,,,,,
oauthlib,365,221,16,0,0,4,,,,,,,
sphinx_rtd_theme,3,2,1,0,0,46,,,,,,,
bleach,371,284,11,0,0,29,,,,,,,
boto3,329,186,11,0,0,46,,,,,,,
h5py,238,176,9,0,0,7,,,,,,,
paramiko,845,513,104,0,0,7,,,,,,,
tensorflow,22408,17394,1714,2,26,108,,,,,,,
requests-oauthlib,40,27,3,0,0,20,,,,,,,
alembic,751,493,22,0,0,16,,,,,,,
pycodestyle,90,74,1,0,0,1,,,,,,,
Cycler,18,17,3,0,0,11,,,,,,,
networkx,1707,1471,363,0,2,11,,,,,,,